id;original_description;code;nearest_level1_code;original_code_system;article;code_description;level1_code_description;umls_cui;level1_umls_cui
733;Malnutrition & nutritional deficiencies;E63;E63;ICD10;Sundmacher et al (2015);Other nutritional deficiencies;Other nutritional deficiencies;C0154241;C0154241
734;Malnutrition & nutritional deficiencies;E64;E64;ICD10;Sundmacher et al (2015);Sequelae of malnutrition and other nutritional deficiencies;Sequelae of malnutrition and other nutritional deficiencies;C0348952;C0348952
735;Malnutrition & nutritional deficiencies;R63.6;R63;ICD10;Sundmacher et al (2015);Underweight;Symptoms and signs concerning food and fluid intake;C0041667;C3646024
736;Alcoholic liver disease ;K70;K70;ICD10;Sundmacher et al (2015);Alcoholic liver disease;Alcoholic liver disease;C0023896;C0023896
737;Dental diseases ;K02;K02;ICD10;Sundmacher et al (2015);Dental caries;Dental caries;C3714731;C3714731
738;Dental diseases ;K04;K04;ICD10;Sundmacher et al (2015);Diseases of pulp and periapical tissues;Diseases of pulp and periapical tissues;C0155933;C0155933
739;Dental diseases ;K05;K05;ICD10;Sundmacher et al (2015);Gingivitis and periodontal diseases;Gingivitis and periodontal diseases;C0494704;C0494704
740;Dental diseases ;K06;K06;ICD10;Sundmacher et al (2015);Other disorders of gingiva and edentulous alveolar ridge;Other disorders of gingiva and edentulous alveolar ridge;C0494706;C0494706
741;Dental diseases ;K08;K08;ICD10;Sundmacher et al (2015);Other disorders of teeth and supporting structures;Other disorders of teeth and supporting structures;C0494707;C0494707
742;Dental diseases ;K12;K12;ICD10;Sundmacher et al (2015);Stomatitis and related lesions;Stomatitis and related lesions;C0494713;C0494713
743;Dental diseases ;K13;K13;ICD10;Sundmacher et al (2015);Other diseases of lip and oral mucosa;Other diseases of lip and oral mucosa;;
744;Inflammatory diseases of female pelvic organs and disorders of female genital tract;N70;N70;ICD10;Sundmacher et al (2015);Salpingitis and oophoritis;Salpingitis and oophoritis;;
745;Inflammatory diseases of female pelvic organs and disorders of female genital tract;N71;N71;ICD10;Sundmacher et al (2015);Inflammatory disease of uterus, except cervix;Inflammatory disease of uterus, except cervix;;
746;Inflammatory diseases of female pelvic organs and disorders of female genital tract;N72;N72;ICD10;Sundmacher et al (2015);Inflammatory disease of cervix uteri;Inflammatory disease of cervix uteri;C0007860;C0007860
747;Inflammatory diseases of female pelvic organs and disorders of female genital tract;N75;N75;ICD10;Sundmacher et al (2015);Diseases of Bartholin's gland;Diseases of Bartholin's gland;C0477776;C0477776
748;Inflammatory diseases of female pelvic organs and disorders of female genital tract;N76;N76;ICD10;Sundmacher et al (2015);Other inflammation of vagina and vulva;Other inflammation of vagina and vulva;C0495091;C0495091
749;Inflammatory diseases of female pelvic organs and disorders of female genital tract;N84.1;N84;ICD10;Sundmacher et al (2015);Polyp of cervix uteri;Polyp of female genital tract;C0007855;C0477791
750;Inflammatory diseases of female pelvic organs and disorders of female genital tract;N86;N86;ICD10;Sundmacher et al (2015);Erosion and ectropion of cervix uteri;Erosion and ectropion of cervix uteri;;
751;Inflammatory diseases of female pelvic organs and disorders of female genital tract;N87;N87;ICD10;Sundmacher et al (2015);Dysplasia of cervix uteri;Dysplasia of cervix uteri;C0007868;C0007868
752;Dementia ;F01;F01;ICD10;Sundmacher et al (2015);Vascular dementia;Vascular dementia;C0011263;C0011263
753;Dementia ;F03;F03;ICD10;Sundmacher et al (2015);Unspecified dementia;Unspecified dementia;C0011265;C0011265
754;Maternal disorders related to pregnancy ;O23;O23;ICD10;Sundmacher et al (2015);Infections of genitourinary tract in pregnancy;Infections of genitourinary tract in pregnancy;C0156756;C0156756
755;Maternal disorders related to pregnancy ;O24;O24;ICD10;Sundmacher et al (2015);Diabetes mellitus in pregnancy, childbirth, and the puerperium;Diabetes mellitus in pregnancy, childbirth, and the puerperium;C0341893;C0341893
756;Diseases of male genital organs ;N41;N41;ICD10;Sundmacher et al (2015);Inflammatory diseases of prostate;Inflammatory diseases of prostate;C0033581;C0033581
757;Diseases of male genital organs ;N45;N45;ICD10;Sundmacher et al (2015);Orchitis and epididymitis;Orchitis and epididymitis;C0149881;C0149881
758;Diseases of male genital organs ;N48.4;N48;ICD10;Sundmacher et al (2015);ERROR;Other disorders of penis;ERROR - atom;C0495079
759;Asthma ;J45;J45;ICD10;Sundmacher et al (2015);Asthma;Asthma;C1260881;C1260881
760;Other polyneuropathies ;G62;G62;ICD10;Sundmacher et al (2015);Other and unspecified polyneuropathies;Other and unspecified polyneuropathies;C2875305;C2875305
761;Avoidable infectious and parasitic diseases ;A15.3;A15;ICD10;Sundmacher et al (2015);ERROR;Respiratory tuberculosis;ERROR - atom;C0041327
762;Avoidable infectious and parasitic diseases ;A15.4;A15;ICD10;Sundmacher et al (2015);Tuberculosis of intrathoracic lymph nodes;Respiratory tuberculosis;;C0041327
763;Avoidable infectious and parasitic diseases ;A15.9;A15;ICD10;Sundmacher et al (2015);Respiratory tuberculosis unspecified;Respiratory tuberculosis;C2880130;C0041327
764;Avoidable infectious and parasitic diseases ;A16.2;A16;ICD10;Sundmacher et al (2015);ERROR;ERROR;ERROR - atom;ERROR - atom
765;Avoidable infectious and parasitic diseases ;A16.3;A16;ICD10;Sundmacher et al (2015);ERROR;ERROR;ERROR - atom;ERROR - atom
766;Avoidable infectious and parasitic diseases ;A16.5;A16;ICD10;Sundmacher et al (2015);ERROR;ERROR;ERROR - atom;ERROR - atom
767;Avoidable infectious and parasitic diseases ;A16.8;A16;ICD10;Sundmacher et al (2015);ERROR;ERROR;ERROR - atom;ERROR - atom
768;Avoidable infectious and parasitic diseases ;A16.9;A16;ICD10;Sundmacher et al (2015);ERROR;ERROR;ERROR - atom;ERROR - atom
769;Avoidable infectious and parasitic diseases ;A34;A34;ICD10;Sundmacher et al (2015);Obstetrical tetanus;Obstetrical tetanus;C0348973;C0348973
770;Avoidable infectious and parasitic diseases ;A35;A35;ICD10;Sundmacher et al (2015);Other tetanus;Other tetanus;C0039614;C0039614
771;Avoidable infectious and parasitic diseases ;A36;A36;ICD10;Sundmacher et al (2015);Diphtheria;Diphtheria;C0012546;C0012546
772;Avoidable infectious and parasitic diseases ;A37;A37;ICD10;Sundmacher et al (2015);Whooping cough;Whooping cough;C0043168;C0043168
773;Avoidable infectious and parasitic diseases ;A50;A50;ICD10;Sundmacher et al (2015);Congenital syphilis;Congenital syphilis;C0039131;C0039131
774;Avoidable infectious and parasitic diseases ;A51;A51;ICD10;Sundmacher et al (2015);Early syphilis;Early syphilis;C0348148;C0348148
775;Avoidable infectious and parasitic diseases ;A52;A52;ICD10;Sundmacher et al (2015);Late syphilis;Late syphilis;C0153188;C0153188
776;Avoidable infectious and parasitic diseases ;A53;A53;ICD10;Sundmacher et al (2015);Other and unspecified syphilis;Other and unspecified syphilis;C0558995;C0558995
777;Avoidable infectious and parasitic diseases ;A54;A54;ICD10;Sundmacher et al (2015);Gonococcal infection;Gonococcal infection;C0018081;C0018081
778;Avoidable infectious and parasitic diseases ;A55;A55;ICD10;Sundmacher et al (2015);Chlamydial lymphogranuloma (venereum);Chlamydial lymphogranuloma (venereum);;
779;Avoidable infectious and parasitic diseases ;A56;A56;ICD10;Sundmacher et al (2015);Other sexually transmitted chlamydial diseases;Other sexually transmitted chlamydial diseases;;
780;Avoidable infectious and parasitic diseases ;A57;A57;ICD10;Sundmacher et al (2015);Chancroid;Chancroid;C0007947;C0007947
781;Avoidable infectious and parasitic diseases ;A58;A58;ICD10;Sundmacher et al (2015);Granuloma inguinale;Granuloma inguinale;C0018190;C0018190
782;Avoidable infectious and parasitic diseases ;A63;A63;ICD10;Sundmacher et al (2015);Other predominantly sexually transmitted diseases, not elsewhere classified;Other predominantly sexually transmitted diseases, not elsewhere classified;C0494062;C0494062
783;Avoidable infectious and parasitic diseases ;A64;A64;ICD10;Sundmacher et al (2015);Unspecified sexually transmitted disease;Unspecified sexually transmitted disease;C0036916;C0036916
784;Avoidable infectious and parasitic diseases ;A80;A80;ICD10;Sundmacher et al (2015);Acute poliomyelitis;Acute poliomyelitis;C0032371;C0032371
785;Avoidable infectious and parasitic diseases ;B05;B05;ICD10;Sundmacher et al (2015);Measles;Measles;C0025007;C0025007
786;Avoidable infectious and parasitic diseases ;B06;B06;ICD10;Sundmacher et al (2015);Rubella [German measles];Rubella [German measles];C0035920;C0035920
787;Avoidable infectious and parasitic diseases ;B07;B07;ICD10;Sundmacher et al (2015);Viral warts;Viral warts;C3665596;C3665596
788;Avoidable infectious and parasitic diseases ;B15;B15;ICD10;Sundmacher et al (2015);Acute hepatitis A;Acute hepatitis A;C0276434;C0276434
789;Avoidable infectious and parasitic diseases ;B16.1;B16;ICD10;Sundmacher et al (2015);Acute hepatitis B with delta-agent without hepatic coma;Acute hepatitis B;C0494092;C0276609
790;Avoidable infectious and parasitic diseases ;B16.9;B16;ICD10;Sundmacher et al (2015);Acute hepatitis B without delta-agent and without hepatic coma;Acute hepatitis B;;C0276609
791;Avoidable infectious and parasitic diseases ;B17;B17;ICD10;Sundmacher et al (2015);Other acute viral hepatitis;Other acute viral hepatitis;C0494094;C0494094
792;Avoidable infectious and parasitic diseases ;B18.0;B18;ICD10;Sundmacher et al (2015);Chronic viral hepatitis B with delta-agent;Chronic viral hepatitis;C0400918;C0549126
793;Avoidable infectious and parasitic diseases ;B18.1;B18;ICD10;Sundmacher et al (2015);Chronic viral hepatitis B without delta-agent;Chronic viral hepatitis;C2911652;C0549126
794;Avoidable infectious and parasitic diseases ;B20;B20;ICD10;Sundmacher et al (2015);Human immunodeficiency virus [HIV] disease;Human immunodeficiency virus [HIV] disease;C0001857;C0001857
795;Avoidable infectious and parasitic diseases ;B21;B21;ICD10;Sundmacher et al (2015);ERROR;ERROR;ERROR - atom;ERROR - atom
796;Avoidable infectious and parasitic diseases ;B22;B22;ICD10;Sundmacher et al (2015);ERROR;ERROR;ERROR - atom;ERROR - atom
797;Avoidable infectious and parasitic diseases ;B23;B23;ICD10;Sundmacher et al (2015);ERROR;ERROR;ERROR - atom;ERROR - atom
798;Avoidable infectious and parasitic diseases ;B24;B24;ICD10;Sundmacher et al (2015);ERROR;ERROR;ERROR - atom;ERROR - atom
799;Avoidable infectious and parasitic diseases ;B26;B26;ICD10;Sundmacher et al (2015);Mumps;Mumps;C0026780;C0026780
800;Avoidable infectious and parasitic diseases ;B34.9;B34;ICD10;Sundmacher et al (2015);Viral infection, unspecified;Viral infection of unspecified site;C0042769;C0042769
801;Avoidable infectious and parasitic diseases ;B51;B51;ICD10;Sundmacher et al (2015);Plasmodium vivax malaria;Plasmodium vivax malaria;;
802;Avoidable infectious and parasitic diseases ;B52;B52;ICD10;Sundmacher et al (2015);Plasmodium malariae malaria;Plasmodium malariae malaria;;
803;Avoidable infectious and parasitic diseases ;B53;B53;ICD10;Sundmacher et al (2015);Other specified malaria;Other specified malaria;C2830251;C2830251
804;Avoidable infectious and parasitic diseases ;B54;B54;ICD10;Sundmacher et al (2015);Unspecified malaria;Unspecified malaria;C0024530;C0024530
805;Avoidable infectious and parasitic diseases ;B77;B77;ICD10;Sundmacher et al (2015);Ascariasis;Ascariasis;C0027583;C0027583
806;Avoidable infectious and parasitic diseases ;B86;B86;ICD10;Sundmacher et al (2015);Scabies;Scabies;C0036262;C0036262
807;Convulsions, not elsewhere classified ;R56;R56;ICD10;Sundmacher et al (2015);Convulsions, not elsewhere classified;Convulsions, not elsewhere classified;C0495698;C0495698
808;Decubitus ulcer and pressure area ;L89;L89;ICD10;Sundmacher et al (2015);Pressure ulcer;Pressure ulcer;C0011127;C0011127
809;Obesity ;E66;E66;ICD10;Sundmacher et al (2015);Overweight and obesity;Overweight and obesity;C1561826;C1561826
810;Perforated, bleeding ulcer ;K25.9;K25;ICD10;Sundmacher et al (2015);Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation;Gastric ulcer;C0494724;C1275742
811;Perforated, bleeding ulcer ;K27;K27;ICD10;Sundmacher et al (2015);Peptic ulcer, site unspecified;Peptic ulcer, site unspecified;C0030920;C0030920
812;Perforated, bleeding ulcer ;L97;L97;ICD10;Sundmacher et al (2015);Non-pressure chronic ulcer of lower limb, not elsewhere classified;Non-pressure chronic ulcer of lower limb, not elsewhere classified;;
813;Rare diseases with <5000 cases each ;F80;F80;ICD10;Sundmacher et al (2015);Specific developmental disorders of speech and language;Specific developmental disorders of speech and language;C0494423;C0494423
814;Rare diseases with <5000 cases each ;R63.0;R63;ICD10;Sundmacher et al (2015);Anorexia;Symptoms and signs concerning food and fluid intake;C0003123;C3646024
815;Rare diseases with <5000 cases each ;R63.3;R63;ICD10;Sundmacher et al (2015);Feeding difficulties;Symptoms and signs concerning food and fluid intake;C0232466;C3646024
816;Rare diseases with <5000 cases each ;R63.8;R63;ICD10;Sundmacher et al (2015);Other symptoms and signs concerning food and fluid intake;Symptoms and signs concerning food and fluid intake;C0478153;C3646024
817;appendicite acuta con complicazioni;540.0;540;ICD9;Pirani et al (2006);Acute appendicitis with generalized peritonitis;Acute appendicitis;C0156092;C0085693
818;appendicite acuta con complicazioni;540.1;540;ICD9;Pirani et al (2006);Acute appendicitis with peritoneal abscess;Acute appendicitis;C0156093;C0085693
819;asma ;493;493;ICD9;Pirani et al (2006);Asthma;Asthma;C0004096;C0004096
820;convulsioni ed epilessia;345;345;ICD9;Pirani et al (2006);Epilepsy and recurrent seizures;Epilepsy and recurrent seizures;C1719410;C1719410
821;convulsioni ed epilessia;780.3;780;ICD9;Pirani et al (2006);Convulsions;General symptoms;C4048158;C0159028
822;gastroenterite;008.6;8;ICD9;Pirani et al (2006);Enteritis due to specified virus;Intestinal infections due to other organisms;C0152517;C0152518
823;gastroenterite;008.8;8;ICD9;Pirani et al (2006);Intestinal infection due to other organism, not elsewhere classified;Intestinal infections due to other organisms;C0489952;C0152518
824;gastroenterite;009.0;9;ICD9;Pirani et al (2006);Infectious colitis, enteritis, and gastroenteritis;Ill-defined intestinal infections;C1279224;C0152519
825;gastroenterite;009.1;9;ICD9;Pirani et al (2006);Colitis, enteritis, and gastroenteritis of presumed infectious origin;Ill-defined intestinal infections;C0595979;C0152519
826;gastroenterite;009.2;9;ICD9;Pirani et al (2006);Infectious diarrhea;Ill-defined intestinal infections;C0013369;C0152519
827;gastroenterite;009.3;9;ICD9;Pirani et al (2006);Diarrhea of presumed infectious origin;Ill-defined intestinal infections;C0152522;C0152519
828;gastroenterite;558.9;558;ICD9;Pirani et al (2006);Other and unspecified noninfectious gastroenteritis and colitis;Other and unspecified noninfectious gastroenteritis and colitis;C0029512;C0029512
829;infezioni del tratto urinario;590.0;590;ICD9;Pirani et al (2006);Chronic pyelonephritis;Infections of kidney;C0085697;C0021313
830;infezioni del tratto urinario;590.1;590;ICD9;Pirani et al (2006);Acute pyelonephritis;Infections of kidney;C0520575;C0021313
831;infezioni del tratto urinario;590.2;590;ICD9;Pirani et al (2006);Renal and perinephric abscess;Infections of kidney;C0156253;C0021313
832;infezioni del tratto urinario;590.3;590;ICD9;Pirani et al (2006);Pyeloureteritis cystica;Infections of kidney;C0156254;C0021313
833;infezioni del tratto urinario;590.4;590;ICD9;Pirani et al (2006);ERROR;Infections of kidney;ERROR - atom;C0021313
834;infezioni del tratto urinario;590.5;590;ICD9;Pirani et al (2006);ERROR;Infections of kidney;ERROR - atom;C0021313
835;infezioni del tratto urinario;590.6;590;ICD9;Pirani et al (2006);ERROR;Infections of kidney;ERROR - atom;C0021313
836;infezioni del tratto urinario;590.7;590;ICD9;Pirani et al (2006);ERROR;Infections of kidney;ERROR - atom;C0021313
837;infezioni del tratto urinario;590.8;590;ICD9;Pirani et al (2006);Other pyelonephritis or pyonephrosis, not specified as acute or chronic;Infections of kidney;C0156255;C0021313
838;infezioni del tratto urinario;590.9;590;ICD9;Pirani et al (2006);Infection of kidney, unspecified;Infections of kidney;C0021313;C0021313
839;infezioni del tratto urinario;595.0;595;ICD9;Pirani et al (2006);Acute cystitis;Cystitis;C0149523;C0010692
840;infezioni del tratto urinario;595.9;595;ICD9;Pirani et al (2006);Cystitis, unspecified;Cystitis;C0010692;C0010692
841;infezioni del tratto urinario;599.0;599;ICD9;Pirani et al (2006);Urinary tract infection, site not specified;Other disorders of urethra and urinary tract;C0042029;C0546812
842;infezioni ORL/infezioni acute;382;382;ICD9;Pirani et al (2006);Suppurative and unspecified otitis media;Suppurative and unspecified otitis media;C0029888;C0029888
843;infezioni ORL/infezioni acute;462;462;ICD9;Pirani et al (2006);Acute pharyngitis;Acute pharyngitis;C0001344;C0001344
844;infezioni ORL/infezioni acute;463;463;ICD9;Pirani et al (2006);Acute tonsillitis;Acute tonsillitis;C0001361;C0001361
845;infezioni ORL/infezioni acute;465;465;ICD9;Pirani et al (2006);Acute upper respiratory infections of multiple or unspecified sites;Acute upper respiratory infections of multiple or unspecified sites;C0155816;C0155816
846;infezioni ORL/infezioni acute;472.1;472;ICD9;Pirani et al (2006);Chronic pharyngitis;Chronic pharyngitis and nasopharyngitis;C0155825;C0155824
847;delle vie respiratorie alte con codice di procedura ;020.01;20;ICD9;Pirani et al (2006);ERROR;Plague;ERROR - atom;C0032064
848;patologie immunizzabili;32;32;ICD9;Pirani et al (2006);Diphtheria;Diphtheria;C0012546;C0012546
849;patologie immunizzabili;33;33;ICD9;Pirani et al (2006);Whooping cough;Whooping cough;C0043168;C0043168
850;patologie immunizzabili;37;37;ICD9;Pirani et al (2006);Tetanus;Tetanus;C0039614;C0039614
851;patologie immunizzabili;45;45;ICD9;Pirani et al (2006);Acute poliomyelitis;Acute poliomyelitis;C0032371;C0032371
852;patologie immunizzabili;55;55;ICD9;Pirani et al (2006);Measles;Measles;C0025007;C0025007
853;patologie immunizzabili;070.2;70;ICD9;Pirani et al (2006);Viral hepatitis B with hepatic coma;Viral hepatitis;C0153076;C0042721
854;patologie immunizzabili;070.3;70;ICD9;Pirani et al (2006);Viral hepatitis B without mention of hepatic coma;Viral hepatitis;C0700211;C0042721
855;patologie immunizzabili;72;72;ICD9;Pirani et al (2006);Mumps;Mumps;C0026780;C0026780
856;patologie immunizzabili;320.0;320;ICD9;Pirani et al (2006);Hemophilus meningitis;Bacterial meningitis;C0025292;C0085437
857;polmonite batterica;481;481;ICD9;Pirani et al (2006);Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia];Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia];C0155862;C0155862
858;polmonite batterica;482.2;482;ICD9;Pirani et al (2006);Pneumonia due to Hemophilus influenzae [H. influenzae];Other bacterial pneumonia;C0276026;C0155858
859;polmonite batterica;482.3;482;ICD9;Pirani et al (2006);Pneumonia due to Streptococcus;Other bacterial pneumonia;C0155862;C0155858
860;polmonite batterica;482.9;482;ICD9;Pirani et al (2006);Bacterial pneumonia, unspecified;Other bacterial pneumonia;C0004626;C0155858
861;polmonite batterica;483;483;ICD9;Pirani et al (2006);Pneumonia due to other specified organism;Pneumonia due to other specified organism;C0032287;C0032287
862;polmonite batterica;485;485;ICD9;Pirani et al (2006);Bronchopneumonia, organism unspecified;Bronchopneumonia, organism unspecified;C0006285;C0006285
863;polmonite batterica;486;486;ICD9;Pirani et al (2006);Pneumonia, organism unspecified;Pneumonia, organism unspecified;C0339951;C0339951
864;angina pectoris ;413;413;ICD9;Pirani et al (2006);Angina pectoris;Angina pectoris;C0002962;C0002962
865;appendicite acuta con complicazioni;540.0;540;ICD9;Pirani et al (2006);Acute appendicitis with generalized peritonitis;Acute appendicitis;C0156092;C0085693
866;appendicite acuta con complicazioni;540.1;540;ICD9;Pirani et al (2006);Acute appendicitis with peritoneal abscess;Acute appendicitis;C0156093;C0085693
867;asma;493;493;ICD9;Pirani et al (2006);Asthma;Asthma;C0004096;C0004096
868;deficienze nutrizionali;260;260;ICD9;Pirani et al (2006);Kwashiorkor;Kwashiorkor;C0022806;C0022806
869;deficienze nutrizionali;261;261;ICD9;Pirani et al (2006);Nutritional marasmus;Nutritional marasmus;C0086588;C0086588
870;deficienze nutrizionali;262;262;ICD9;Pirani et al (2006);Other severe protein-calorie malnutrition;Other severe protein-calorie malnutrition;C0267981;C0267981
871;deficienze nutrizionali; 268.0;26;ICD9;Pirani et al (2006);ERROR;ERROR;ERROR - atom;ERROR - atom
872;deficienze nutrizionali; 268.1;26;ICD9;Pirani et al (2006);ERROR;ERROR;ERROR - atom;ERROR - atom
873;diabete;250.1;250;ICD9;Pirani et al (2006);Diabetes with ketoacidosis;Diabetes mellitus;C0011880;C0011849
874;diabete;250.2;250;ICD9;Pirani et al (2006);Diabetes mellitus with hyperosmolarity;Diabetes mellitus;C0375121;C0011849
875;diabete;250.3;250;ICD9;Pirani et al (2006);Diabetes with other coma;Diabetes mellitus;C0011870;C0011849
876;diabete;250.4;250;ICD9;Pirani et al (2006);Diabetes with renal manifestations;Diabetes mellitus;C0011881;C0011849
877;diabete;250.5;250;ICD9;Pirani et al (2006);Diabetes with ophthalmic manifestations;Diabetes mellitus;C0342245;C0011849
878;diabete;250.6;250;ICD9;Pirani et al (2006);Diabetes with neurological manifestations;Diabetes mellitus;C0011882;C0011849
879;diabete;250.7;250;ICD9;Pirani et al (2006);Diabetes with peripheral circulatory disorders;Diabetes mellitus;C0011871;C0011849
880;diabete;250.8;250;ICD9;Pirani et al (2006);Diabetes with other specified manifestations;Diabetes mellitus;C0154183;C0011849
881;diabete;250.9;250;ICD9;Pirani et al (2006);Diabetes with unspecified complication;Diabetes mellitus;C0342257;C0011849
882;diabete; 251.0;251;ICD9;Pirani et al (2006);ERROR;Other disorders of pancreatic internal secretion;ERROR - atom;C0154189
883;diabete; 785.4;785;ICD9;Pirani et al (2006);;;;
884;diabete;250.7;250;ICD9;Pirani et al (2006);;;;
885;amputazione degli arti inferiori;084.10;84;ICD9;Pirani et al (2006);ERROR;Malaria;ERROR - atom;C0024530
886;amputazione degli arti inferiori;084.11;85;ICD9;Pirani et al (2006);ERROR;Leishmaniasis;ERROR - atom;C0023281
887;amputazione degli arti inferiori;084.12;86;ICD9;Pirani et al (2006);ERROR;Trypanosomiasis;ERROR - atom;C0041227
888;amputazione degli arti inferiori;084.13;87;ICD9;Pirani et al (2006);ERROR;Relapsing fever;ERROR - atom;C0035021
889;amputazione degli arti inferiori;084.14;88;ICD9;Pirani et al (2006);ERROR;Other arthropod-borne diseases;ERROR - atom;C0153126
890;amputazione degli arti inferiori;084.15;89;ICD9;Pirani et al (2006);ERROR;ERROR;ERROR - atom;ERROR - atom
891;amputazione degli arti inferiori;084.16;90;ICD9;Pirani et al (2006);ERROR;Congenital syphilis;ERROR - atom;C0039131
892;amputazione degli arti inferiori;084.17;91;ICD9;Pirani et al (2006);ERROR;Early syphilis, symptomatic;ERROR - atom;C0153139
893;amputazione degli arti inferiori;084.18;92;ICD9;Pirani et al (2006);ERROR;Early syphilis, latent;ERROR - atom;C0275842
894;amputazione degli arti inferiori;084.19;93;ICD9;Pirani et al (2006);ERROR;Cardiovascular syphilis;ERROR - atom;C0039130
895;amputazione degli arti inferiori; 250.0;25;ICD9;Pirani et al (2006);ERROR;Melioidosis;ERROR - atom;C0025229
896;amputazione degli arti inferiori; 250.1;25;ICD9;Pirani et al (2006);ERROR;Melioidosis;ERROR - atom;C0025229
897;amputazione degli arti inferiori; 250.2;25;ICD9;Pirani et al (2006);ERROR;Melioidosis;ERROR - atom;C0025229
898;amputazione degli arti inferiori; 250.3;25;ICD9;Pirani et al (2006);ERROR;Melioidosis;ERROR - atom;C0025229
899;amputazione degli arti inferiori; 250.4;25;ICD9;Pirani et al (2006);ERROR;Melioidosis;ERROR - atom;C0025229
900;amputazione degli arti inferiori; 250.5;25;ICD9;Pirani et al (2006);ERROR;Melioidosis;ERROR - atom;C0025229
901;amputazione degli arti inferiori; 250.6;25;ICD9;Pirani et al (2006);ERROR;Melioidosis;ERROR - atom;C0025229
902;amputazione degli arti inferiori; 250.7;25;ICD9;Pirani et al (2006);ERROR;Melioidosis;ERROR - atom;C0025229
903;amputazione degli arti inferiori; 250.8;25;ICD9;Pirani et al (2006);ERROR;Melioidosis;ERROR - atom;C0025229
904;amputazione degli arti inferiori; 250.9;25;ICD9;Pirani et al (2006);ERROR;Melioidosis;ERROR - atom;C0025229
905;disordini del metabolismo idro-elettrolitici;276.5;276;ICD9;Pirani et al (2006);Volume depletion;Disorders of fluid, electrolyte, and acid-base balance;C0546884;C0267994
906;disordini del metabolismo idro-elettrolitici;276.8;276;ICD9;Pirani et al (2006);Hypopotassemia;Disorders of fluid, electrolyte, and acid-base balance;C0020621;C0267994
907;infezioni del tratto urinario ;590.0;590;ICD9;Pirani et al (2006);Chronic pyelonephritis;Infections of kidney;C0085697;C0021313
908;infezioni del tratto urinario ;590.1;590;ICD9;Pirani et al (2006);Acute pyelonephritis;Infections of kidney;C0520575;C0021313
909;infezioni del tratto urinario ;590.2;590;ICD9;Pirani et al (2006);Renal and perinephric abscess;Infections of kidney;C0156253;C0021313
910;infezioni del tratto urinario ;590.3;590;ICD9;Pirani et al (2006);Pyeloureteritis cystica;Infections of kidney;C0156254;C0021313
911;infezioni del tratto urinario ;590.4;590;ICD9;Pirani et al (2006);ERROR;Infections of kidney;ERROR - atom;C0021313
912;infezioni del tratto urinario ;590.5;590;ICD9;Pirani et al (2006);ERROR;Infections of kidney;ERROR - atom;C0021313
913;infezioni del tratto urinario ;590.6;590;ICD9;Pirani et al (2006);ERROR;Infections of kidney;ERROR - atom;C0021313
914;infezioni del tratto urinario ;590.7;590;ICD9;Pirani et al (2006);ERROR;Infections of kidney;ERROR - atom;C0021313
915;infezioni del tratto urinario ;590.8;590;ICD9;Pirani et al (2006);Other pyelonephritis or pyonephrosis, not specified as acute or chronic;Infections of kidney;C0156255;C0021313
916;infezioni del tratto urinario ;590.9;590;ICD9;Pirani et al (2006);Infection of kidney, unspecified;Infections of kidney;C0021313;C0021313
917;infezioni del tratto urinario ;595.0;595;ICD9;Pirani et al (2006);Acute cystitis;Cystitis;C0149523;C0010692
918;infezioni del tratto urinario ;595.9;595;ICD9;Pirani et al (2006);Cystitis, unspecified;Cystitis;C0010692;C0010692
919;infezioni del tratto urinario ;599.0;599;ICD9;Pirani et al (2006);Urinary tract infection, site not specified;Other disorders of urethra and urinary tract;C0042029;C0546812
920;insufficienza cardiaca ;428;428;ICD9;Pirani et al (2006);Heart failure;Heart failure;C0018801;C0018801
921;insufficienza cardiaca ; 518.4;518;ICD9;Pirani et al (2006);ERROR;Other diseases of lung;ERROR - atom;C0348712
922;ipertensione ;401.0;401;ICD9;Pirani et al (2006);Malignant essential hypertension;Essential hypertension;C0024588;C0085580
923;ipertensione ;402.0;402;ICD9;Pirani et al (2006);Malignant hypertensive heart disease;Hypertensive heart disease;C0155584;C0152105
924;ipertensione ;403.0;403;ICD9;Pirani et al (2006);Hypertensive chronic kidney disease, malignant;Hypertensive chronic kidney disease;C1719462;C3695318
925;ipertensione ;404.0;404;ICD9;Pirani et al (2006);Hypertensive heart and chronic kidney disease, malignant;Hypertensive heart and chronic kidney disease;C1719468;C1719469
926;ipertensione ;405.0;405;ICD9;Pirani et al (2006);Malignant secondary hypertension;Secondary hypertension;C0155617;C0155616
927;ipertensione ;437.2;437;ICD9;Pirani et al (2006);Hypertensive encephalopathy;Other and ill-defined cerebrovascular disease;C0151620;C0155729
928;malattie infiammatorie dell’ovaio;614;614;ICD9;Pirani et al (2006);Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum;Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum;C0156326;C0156326
929;malattie polmonari cronico-ostruttive ;491;491;ICD9;Pirani et al (2006);Chronic bronchitis;Chronic bronchitis;C0008677;C0008677
930;malattie polmonari cronico-ostruttive ;492;492;ICD9;Pirani et al (2006);Emphysema;Emphysema;C0034067;C0034067
